date,open,high,low,close
2010-07-17,0.05,0.05,0.05,0.05
2010-07-18,0.0858,0.0858,0.0858,0.0858
2010-07-19,0.0808,0.0808,0.0808,0.0808
2010-07-20,0.0747,0.0747,0.0747,0.0747
2010-07-21,0.0792,0.0792,0.0792,0.0792
2010-07-22,0.0505,0.0505,0.0505,0.0505
2010-07-23,0.0626,0.0626,0.0626,0.0626
2010-07-24,0.0545,0.0545,0.0545,0.0545
2010-07-25,0.0505,0.0505,0.0505,0.0505
2010-07-26,0.056,0.056,0.056,0.056
2010-07-27,0.06,0.06,0.06,0.06
2010-07-28,0.0589,0.0589,0.0589,0.0589
2010-07-29,0.0699,0.0699,0.0699,0.0699
2010-07-30,0.0627,0.0627,0.0627,0.0627
2010-07-31,0.0679,0.0679,0.0679,0.0679
2010-08-01,0.0611,0.0611,0.0611,0.0611
2010-08-02,0.06,0.06,0.06,0.06
2010-08-03,0.06,0.06,0.06,0.06
2010-08-04,0.057,0.057,0.057,0.057
2010-08-05,0.061,0.061,0.061,0.061
2010-08-06,0.0623,0.0623,0.0623,0.0623
2010-08-07,0.059,0.059,0.059,0.059
2010-08-08,0.0609,0.0609,0.0609,0.0609
2010-08-09,0.071,0.071,0.071,0.071
2010-08-10,0.07,0.07,0.07,0.07
2010-08-11,0.067,0.067,0.067,0.067
2010-08-12,0.07,0.07,0.07,0.07
2010-08-13,0.0645,0.0645,0.0645,0.0645
2010-08-14,0.067,0.067,0.067,0.067
2010-08-15,0.0653,0.0653,0.0653,0.0653
2010-08-16,0.0655,0.0655,0.0655,0.0655
2010-08-17,0.07,0.07,0.07,0.07
2010-08-18,0.068,0.068,0.068,0.068
2010-08-19,0.0667,0.0667,0.0667,0.0667
2010-08-20,0.0655,0.0655,0.0655,0.0655
2010-08-21,0.0664,0.0664,0.0664,0.0664
2010-08-22,0.066,0.066,0.066,0.066
2010-08-23,0.0649,0.0649,0.0649,0.0649
2010-08-24,0.065,0.065,0.065,0.065
2010-08-25,0.0648,0.0648,0.0648,0.0648
2010-08-26,0.064,0.064,0.064,0.064
2010-08-27,0.065,0.065,0.065,0.065
2010-08-28,0.0641,0.0641,0.0641,0.0641
2010-08-29,0.064,0.064,0.064,0.064
2010-08-30,0.065,0.065,0.065,0.065
2010-08-31,0.06,0.06,0.06,0.06
2010-09-01,0.0629,0.0629,0.0629,0.0629
2010-09-02,0.0634,0.0634,0.0634,0.0634
2010-09-03,0.0609,0.0609,0.0609,0.0609
2010-09-04,0.0624,0.0624,0.0624,0.0624
2010-09-05,0.0616,0.0616,0.0616,0.0616
2010-09-06,0.0616,0.0616,0.0616,0.0616
2010-09-07,0.061,0.061,0.061,0.061
2010-09-08,0.062,0.062,0.062,0.062
2010-09-09,0.0611,0.0611,0.0611,0.0611
2010-09-10,0.0618,0.0618,0.0618,0.0618
2010-09-11,0.0637,0.0637,0.0637,0.0637
2010-09-12,0.0615,0.0615,0.0615,0.0615
2010-09-13,0.0622,0.0622,0.0622,0.0622
2010-09-14,0.062,0.062,0.062,0.062
2010-09-15,0.0604,0.0604,0.0604,0.0604
2010-09-16,0.0619,0.0619,0.0619,0.0619
2010-09-17,0.059,0.059,0.059,0.059
2010-09-18,0.061,0.061,0.061,0.061
2010-09-19,0.0627,0.0627,0.0627,0.0627
2010-09-20,0.0621,0.0621,0.0621,0.0621
2010-09-21,0.0627,0.0627,0.0627,0.0627
2010-09-22,0.0622,0.0622,0.0622,0.0622
2010-09-23,0.0623,0.0623,0.0623,0.0623
2010-09-24,0.0622,0.0622,0.0622,0.0622
2010-09-25,0.062,0.062,0.062,0.062
2010-09-26,0.062,0.062,0.062,0.062
2010-09-27,0.0622,0.0622,0.0622,0.0622
2010-09-28,0.0619,0.0619,0.0619,0.0619
2010-09-29,0.0619,0.0619,0.0619,0.0619
2010-09-30,0.0619,0.0619,0.0619,0.0619
2010-10-01,0.062,0.062,0.062,0.062
2010-10-02,0.0614,0.0614,0.0614,0.0614
2010-10-03,0.0611,0.0611,0.0611,0.0611
2010-10-04,0.0613,0.0613,0.0613,0.0613
2010-10-05,0.0614,0.0614,0.0614,0.0614
2010-10-06,0.0628,0.0628,0.0628,0.0628
2010-10-07,0.067,0.067,0.067,0.067
2010-10-08,0.0869,0.0869,0.0869,0.0869
2010-10-09,0.0938,0.0938,0.0938,0.0938
2010-10-10,0.0965,0.0965,0.0965,0.0965
